20:31:05.258 [main] INFO  org.testng.internal.Utils - [Warning] The regular expression "getBookingAPITest" didn't match any method in class APITest.BookingAPITest.GetBookingAPITest
20:31:06.174 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.174 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.176 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.178 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.178 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.178 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.178 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.180 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.180 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.180 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.180 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.180 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.180 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.180 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.180 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.184 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.184 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.184 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.184 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.184 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.186 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.186 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.192 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.192 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.192 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.192 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.192 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.192 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.192 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.192 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.192 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.192 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.192 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.192 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.192 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.192 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.192 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.192 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.192 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.192 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.192 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.192 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.202 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.202 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.202 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.202 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.202 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.202 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.202 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.202 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.202 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.202 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.206 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.206 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.206 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.208 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.208 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.208 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.208 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.210 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.210 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.210 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.212 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.212 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.212 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.212 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.212 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.212 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.212 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.212 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.212 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.212 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.212 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.212 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.212 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.212 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.212 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.212 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.212 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.212 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.212 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.212 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.237 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.241 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.245 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.247 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.249 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.251 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.257 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.257 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.257 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.257 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.257 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.259 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.259 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.259 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.261 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.261 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.265 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.268 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.268 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.269 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.272 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.272 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.272 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.272 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.272 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.272 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.272 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.272 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.272 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.278 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.278 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.278 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.278 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.278 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.278 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.278 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.278 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.278 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.278 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.278 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.278 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.285 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.285 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.285 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.294 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 9 ms.
20:31:06.312 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 18 ms.
20:31:06.314 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.314 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.314 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
20:31:06.314 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
20:31:06.755 [main] INFO  org.testng.internal.Utils - [Utils] DynamicGraphHelper.createDynamicGraph() took 9 ms.
20:31:08.196 [main] INFO  filters.LoggingFilters - Request Uri: https://restful-booker.herokuapp.com/booking
20:31:08.196 [main] INFO  filters.LoggingFilters - headers: Accept=*/*
Content-Type=application/json
20:31:08.196 [main] INFO  filters.LoggingFilters - Body: {"firstname":"Marco","lastname":"Haag","totalprice":85506,"depositpaid":true,"bookingdates":{"checkin":"2024-01-01","checkout":"2023-01-01"},"additionalneeds":"Breakfast"}
20:31:10.284 [main] INFO  filters.LoggingFilters - response status: 200
20:31:10.284 [main] INFO  filters.LoggingFilters - response headers: Content-Length=200
Content-Type=application/json; charset=utf-8
Date=Sat, 22 Nov 2025 15:01:09 GMT
Etag=W/"c8-AHAzJulFrdS4PdKII8pAM86Ygxs"
Nel={"report_to":"heroku-nel","response_headers":["Via"],"max_age":3600,"success_fraction":0.01,"failure_fraction":0.1}
Report-To={"group":"heroku-nel","endpoints":[{"url":"https://nel.heroku.com/reports?s=KyTGVnIuOlI65iQmtTONYXlQMkVe6B7i2WbRHvngJs0%3D\u0026sid=c46efe9b-d3d2-4a0c-8c76-bfafa16c5add\u0026ts=1763823669"}],"max_age":3600}
Reporting-Endpoints=heroku-nel="https://nel.heroku.com/reports?s=KyTGVnIuOlI65iQmtTONYXlQMkVe6B7i2WbRHvngJs0%3D&sid=c46efe9b-d3d2-4a0c-8c76-bfafa16c5add&ts=1763823669"
Server=Heroku
Via=1.1 heroku-router
X-Powered-By=Express
20:31:10.284 [main] INFO  filters.LoggingFilters - response body: {
    "bookingid": 5210,
    "booking": {
        "firstname": "Marco",
        "lastname": "Haag",
        "totalprice": 85506,
        "depositpaid": true,
        "bookingdates": {
            "checkin": "2024-01-01",
            "checkout": "2023-01-01"
        },
        "additionalneeds": "Breakfast"
    }
}
20:31:11.373 [main] INFO  filters.LoggingFilters - Request Uri: https://restful-booker.herokuapp.com/booking
20:31:11.373 [main] INFO  filters.LoggingFilters - headers: Accept=*/*
Content-Type=application/json
20:31:11.373 [main] INFO  filters.LoggingFilters - Body: {"firstname":"Jude","lastname":"Effertz","totalprice":54985,"depositpaid":false,"bookingdates":{"checkin":"2024-01-01","checkout":"2023-01-01"},"additionalneeds":"Breakfast"}
20:31:17.542 [main] INFO  filters.LoggingFilters - response status: 200
20:31:17.542 [main] INFO  filters.LoggingFilters - response headers: Content-Length=201
Content-Type=application/json; charset=utf-8
Date=Sat, 22 Nov 2025 15:01:17 GMT
Etag=W/"c9-xTnQsKVEP4HsgmLuZh3LJLRzAAQ"
Nel={"report_to":"heroku-nel","response_headers":["Via"],"max_age":3600,"success_fraction":0.01,"failure_fraction":0.1}
Report-To={"group":"heroku-nel","endpoints":[{"url":"https://nel.heroku.com/reports?s=NlSFMD5cobCtQBD2i4qy%2F1pjhNBU8F8sY5eohoeI8E4%3D\u0026sid=c46efe9b-d3d2-4a0c-8c76-bfafa16c5add\u0026ts=1763823672"}],"max_age":3600}
Reporting-Endpoints=heroku-nel="https://nel.heroku.com/reports?s=NlSFMD5cobCtQBD2i4qy%2F1pjhNBU8F8sY5eohoeI8E4%3D&sid=c46efe9b-d3d2-4a0c-8c76-bfafa16c5add&ts=1763823672"
Server=Heroku
Via=1.1 heroku-router
X-Powered-By=Express
20:31:17.542 [main] INFO  filters.LoggingFilters - response body: {
    "bookingid": 21,
    "booking": {
        "firstname": "Jude",
        "lastname": "Effertz",
        "totalprice": 54985,
        "depositpaid": false,
        "bookingdates": {
            "checkin": "2024-01-01",
            "checkout": "2023-01-01"
        },
        "additionalneeds": "Breakfast"
    }
}
20:31:17.591 [main] INFO  filters.LoggingFilters - Request Uri: https://restful-booker.herokuapp.com/booking/21
20:31:17.591 [main] INFO  filters.LoggingFilters - headers: Accept=*/*
20:31:17.591 [main] INFO  filters.LoggingFilters - Body: null
20:31:18.729 [main] INFO  filters.LoggingFilters - response status: 200
20:31:18.729 [main] INFO  filters.LoggingFilters - response headers: Content-Length=174
Content-Type=application/json; charset=utf-8
Date=Sat, 22 Nov 2025 15:01:18 GMT
Etag=W/"ae-AGxXEmFb8GeO/Ui/9aV0PJkYTzc"
Nel={"report_to":"heroku-nel","response_headers":["Via"],"max_age":3600,"success_fraction":0.01,"failure_fraction":0.1}
Report-To={"group":"heroku-nel","endpoints":[{"url":"https://nel.heroku.com/reports?s=h5KSlHjZTlN7Kj53ZwqhtNh5DaPd%2FzTcguxI29K2ADU%3D\u0026sid=c46efe9b-d3d2-4a0c-8c76-bfafa16c5add\u0026ts=1763823678"}],"max_age":3600}
Reporting-Endpoints=heroku-nel="https://nel.heroku.com/reports?s=h5KSlHjZTlN7Kj53ZwqhtNh5DaPd%2FzTcguxI29K2ADU%3D&sid=c46efe9b-d3d2-4a0c-8c76-bfafa16c5add&ts=1763823678"
Server=Heroku
Via=1.1 heroku-router
X-Powered-By=Express
20:31:18.729 [main] INFO  filters.LoggingFilters - response body: {
    "firstname": "Jude",
    "lastname": "Effertz",
    "totalprice": 54985,
    "depositpaid": false,
    "bookingdates": {
        "checkin": "2024-01-01",
        "checkout": "2023-01-01"
    },
    "additionalneeds": "Breakfast"
}
20:31:18.762 [main] INFO  filters.LoggingFilters - Request Uri: https://restful-booker.herokuapp.com/booking
20:31:18.762 [main] INFO  filters.LoggingFilters - headers: Accept=*/*
20:31:18.762 [main] INFO  filters.LoggingFilters - Body: null
20:31:19.873 [main] INFO  filters.LoggingFilters - response status: 200
20:31:19.873 [main] INFO  filters.LoggingFilters - response headers: Content-Length=621
Content-Type=application/json; charset=utf-8
Date=Sat, 22 Nov 2025 15:01:19 GMT
Etag=W/"26d-vQvkjNNY2j5QBqP555/wI8Wko5E"
Nel={"report_to":"heroku-nel","response_headers":["Via"],"max_age":3600,"success_fraction":0.01,"failure_fraction":0.1}
Report-To={"group":"heroku-nel","endpoints":[{"url":"https://nel.heroku.com/reports?s=WoltGmVr57lomevKnpLjvOywYKYyjdr6IGVr7t7WVkY%3D\u0026sid=c46efe9b-d3d2-4a0c-8c76-bfafa16c5add\u0026ts=1763823679"}],"max_age":3600}
Reporting-Endpoints=heroku-nel="https://nel.heroku.com/reports?s=WoltGmVr57lomevKnpLjvOywYKYyjdr6IGVr7t7WVkY%3D&sid=c46efe9b-d3d2-4a0c-8c76-bfafa16c5add&ts=1763823679"
Server=Heroku
Via=1.1 heroku-router
X-Powered-By=Express
20:31:19.873 [main] INFO  filters.LoggingFilters - response body: [
    {
        "bookingid": 2
    },
    {
        "bookingid": 39
    },
    {
        "bookingid": 17
    },
    {
        "bookingid": 4
    },
    {
        "bookingid": 16
    },
    {
        "bookingid": 26
    },
    {
        "bookingid": 41
    },
    {
        "bookingid": 25
    },
    {
        "bookingid": 20
    },
    {
        "bookingid": 6
    },
    {
        "bookingid": 37
    },
    {
        "bookingid": 23
    },
    {
        "bookingid": 28
    },
    {
        "bookingid": 21
    },
    {
        "bookingid": 31
    },
    {
        "bookingid": 14
    },
    {
        "bookingid": 40
    },
    {
        "bookingid": 18
    },
    {
        "bookingid": 34
    },
    {
        "bookingid": 27
    },
    {
        "bookingid": 38
    },
    {
        "bookingid": 1
    },
    {
        "bookingid": 30
    },
    {
        "bookingid": 10
    },
    {
        "bookingid": 9
    },
    {
        "bookingid": 32
    },
    {
        "bookingid": 29
    },
    {
        "bookingid": 19
    },
    {
        "bookingid": 12
    },
    {
        "bookingid": 8
    },
    {
        "bookingid": 5
    },
    {
        "bookingid": 35
    },
    {
        "bookingid": 13
    },
    {
        "bookingid": 3
    },
    {
        "bookingid": 11
    },
    {
        "bookingid": 15
    },
    {
        "bookingid": 7
    }
]
20:31:19.923 [main] INFO  filters.LoggingFilters - Request Uri: https://restful-booker.herokuapp.com/booking
20:31:19.923 [main] INFO  filters.LoggingFilters - headers: Accept=*/*
Content-Type=application/json
20:31:19.923 [main] INFO  filters.LoggingFilters - Body: {"firstname":"Alonzo","lastname":"Bogan","totalprice":14620,"depositpaid":false,"bookingdates":{"checkin":"2024-01-01","checkout":"2023-01-01"},"additionalneeds":"Breakfast"}
20:31:21.022 [main] INFO  filters.LoggingFilters - response status: 200
20:31:21.023 [main] INFO  filters.LoggingFilters - response headers: Content-Length=201
Content-Type=application/json; charset=utf-8
Date=Sat, 22 Nov 2025 15:01:20 GMT
Etag=W/"c9-vOrjHZaNUpVZ4DUAq8FQfPPEHEQ"
Nel={"report_to":"heroku-nel","response_headers":["Via"],"max_age":3600,"success_fraction":0.01,"failure_fraction":0.1}
Report-To={"group":"heroku-nel","endpoints":[{"url":"https://nel.heroku.com/reports?s=VSgZfcd5QgwPZnC1xLGP0c7XbTaCpUYDM9ZYh9Ln3UM%3D\u0026sid=c46efe9b-d3d2-4a0c-8c76-bfafa16c5add\u0026ts=1763823680"}],"max_age":3600}
Reporting-Endpoints=heroku-nel="https://nel.heroku.com/reports?s=VSgZfcd5QgwPZnC1xLGP0c7XbTaCpUYDM9ZYh9Ln3UM%3D&sid=c46efe9b-d3d2-4a0c-8c76-bfafa16c5add&ts=1763823680"
Server=Heroku
Via=1.1 heroku-router
X-Powered-By=Express
20:31:21.023 [main] INFO  filters.LoggingFilters - response body: {
    "bookingid": 52,
    "booking": {
        "firstname": "Alonzo",
        "lastname": "Bogan",
        "totalprice": 14620,
        "depositpaid": false,
        "bookingdates": {
            "checkin": "2024-01-01",
            "checkout": "2023-01-01"
        },
        "additionalneeds": "Breakfast"
    }
}
20:31:21.083 [main] INFO  filters.LoggingFilters - Request Uri: https://restful-booker.herokuapp.com/booking/52
20:31:21.083 [main] INFO  filters.LoggingFilters - headers: Authorization=Basic YWRtaW46cGFzc3dvcmQxMjM=
Accept=*/*
Content-Type=application/json
